INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172064657,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,442,Y,8/7/17 18:57,2017,8,Monday,18,Part One,BROWNING AVE,42.29415023,-71.08175047,"(42.29415023, -71.08175047)"
I172064337,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,265,Y,8/6/17 22:12,2017,8,Sunday,22,Part One,COPELAND ST,42.32282213,-71.07984061,"(42.32282213, -71.07984061)"
I172064337,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,265,Y,8/6/17 22:12,2017,8,Sunday,22,Part Two,COPELAND ST,42.32282213,-71.07984061,"(42.32282213, -71.07984061)"
I172062994,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,349,Y,8/2/17 16:02,2017,8,Wednesday,16,Part One,ADAMS ST,42.30385443,-71.06087585,"(42.30385443, -71.06087585)"
I172062015,311,Robbery,ROBBERY - COMMERCIAL,E18,540,Y,7/30/17 19:21,2017,7,Sunday,19,Part One,RIVER ST,42.25050448,-71.13090444,"(42.25050448, -71.13090444)"
I172062015,3125,Warrant Arrests,WARRANT ARREST,E18,540,Y,7/30/17 19:21,2017,7,Sunday,19,Part Three,RIVER ST,42.25050448,-71.13090444,"(42.25050448, -71.13090444)"
I172062010,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,426,Y,7/30/17 18:39,2017,7,Sunday,18,Part One,BLUE HILL AVE,42.26985916,-71.09346353,"(42.26985916, -71.09346353)"
I172061771,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,267,Y,7/29/17 21:23,2017,7,Saturday,21,Part One,MOUNT PLEASANT AVE,42.3263576,-71.07886301,"(42.32635760, -71.07886301)"
I172061724,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,197,Y,7/29/17 18:05,2017,7,Saturday,18,Part One,C ST,42.33723127,-71.05539138,"(42.33723127, -71.05539138)"
I172061068,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,D4,597,Y,7/27/17 16:00,2017,7,Thursday,16,Part Two,TREMONT ST,42.33871587,-71.08152167,"(42.33871587, -71.08152167)"
I172061068,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,597,Y,7/27/17 16:00,2017,7,Thursday,16,Part One,TREMONT ST,42.33871587,-71.08152167,"(42.33871587, -71.08152167)"
I172061068,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,597,Y,7/27/17 16:00,2017,7,Thursday,16,Part Two,TREMONT ST,42.33871587,-71.08152167,"(42.33871587, -71.08152167)"
I172059929,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,7/24/17 1:04,2017,7,Monday,1,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172058490,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,355,Y,7/19/17 11:35,2017,7,Wednesday,11,Part One,ADAMS ST,42.2972764,-71.05667294,"(42.29727640, -71.05667294)"
I172058490,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,355,Y,7/19/17 11:35,2017,7,Wednesday,11,Part Two,ADAMS ST,42.2972764,-71.05667294,"(42.29727640, -71.05667294)"
I172058253,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,603,Y,7/18/17 16:06,2017,7,Tuesday,16,Part One,TREMONT ST,42.33308097,-71.10165376,"(42.33308097, -71.10165376)"
I172058042,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,909,Y,7/17/17 23:42,2017,7,Monday,23,Part One,CABOT ST,42.333382,-71.08745421,"(42.33338200, -71.08745421)"
I172057934,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,444,Y,7/17/17 17:23,2017,7,Monday,17,Part One,VESTA RD,42.2960628,-71.08664795,"(42.29606280, -71.08664795)"
I172057678,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,398,Y,7/16/17 22:11,2017,7,Sunday,22,Part One,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I172057488,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3, ,Y,7/16/17 8:54,2017,7,Sunday,8,Part Two,,,,"(0.00000000, 0.00000000)"
I172057488,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3, ,Y,7/16/17 8:54,2017,7,Sunday,8,Part One,,,,"(0.00000000, 0.00000000)"
I172057407,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",D4, ,Y,7/15/17 22:51,2017,7,Saturday,22,Part One,KENDALL ST,,,"(0.00000000, 0.00000000)"
I172056811,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,465,Y,7/13/17 22:26,2017,7,Thursday,22,Part One,BAIRD ST,42.28574986,-71.09215334,"(42.28574986, -71.09215334)"
I172056326,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3, ,Y,7/12/17 12:01,2017,7,Wednesday,12,Part One,,,,"(0.00000000, 0.00000000)"
I172056146,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,433,Y,7/11/17 19:32,2017,7,Tuesday,19,Part One,EVANS ST,42.28145538,-71.08351029,"(42.28145538, -71.08351029)"
I172055874,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,357,Y,7/10/17 21:30,2017,7,Monday,21,Part One,DAKOTA ST,42.2984758,-71.07303154,"(42.29847580, -71.07303154)"
I172055848,301,Robbery,ROBBERY - STREET,B3,456,Y,7/10/17 19:25,2017,7,Monday,19,Part One,ERIE ST,42.30299624,-71.07903634,"(42.30299624, -71.07903634)"
I172054982,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,358,Y,7/7/17 22:43,2017,7,Friday,22,Part One,TONAWANDA ST,42.2985085,-71.06786956,"(42.29850850, -71.06786956)"
I172054624,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,320,Y,7/6/17 18:44,2017,7,Thursday,18,Part One,BLUE HILL AVE,42.30846634,-71.0832783,"(42.30846634, -71.08327830)"
I172054624,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,320,Y,7/6/17 18:44,2017,7,Thursday,18,Part One,BLUE HILL AVE,42.30846634,-71.0832783,"(42.30846634, -71.08327830)"
I172054477,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,7/6/17 10:38,2017,7,Thursday,10,Part One,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I172054477,423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,332,Y,7/6/17 10:38,2017,7,Thursday,10,Part One,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I172054407,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,Y,7/6/17 0:22,2017,7,Thursday,0,Part One,CUSHING AVE,42.3134571,-71.06271009,"(42.31345710, -71.06271009)"
I172054029,1845,Drug Violation,DRUGS - POSS CLASS D,B2,316,Y,7/5/17 2:36,2017,7,Wednesday,2,Part Two,HOMESTEAD ST,42.31242132,-71.09154902,"(42.31242132, -71.09154902)"
I172054029,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,316,Y,7/5/17 2:36,2017,7,Wednesday,2,Part One,HOMESTEAD ST,42.31242132,-71.09154902,"(42.31242132, -71.09154902)"
I172053885,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,337,Y,7/4/17 16:54,2017,7,Tuesday,16,Part One,DEVON ST,42.30724276,-71.07558677,"(42.30724276, -71.07558677)"
I172053819,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,316,Y,7/4/17 9:56,2017,7,Tuesday,9,Part One,WALNUT AVE,42.31582829,-71.09347096,"(42.31582829, -71.09347096)"
I172053750,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,273,Y,7/3/17 23:37,2017,7,Monday,23,Part One,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.33665048, -71.07841035)"
I172053412,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,280,Y,7/2/17 23:10,2017,7,Sunday,23,Part One,ZEIGLER ST,42.32950632,-71.08398018,"(42.32950632, -71.08398018)"
I172053409,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,911,Y,7/2/17 23:15,2017,7,Sunday,23,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I172053177,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,7/2/17 2:32,2017,7,Sunday,2,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172053026,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,305,Y,7/1/17 15:24,2017,7,Saturday,15,Part One,WASHINGTON ST,42.32251511,-71.09080341,"(42.32251511, -71.09080341)"
I172052541,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,607,Y,6/30/17 0:42,2017,6,Friday,0,Part One,GROTTO GLEN RD,42.32563183,-71.10845359,"(42.32563183, -71.10845359)"
I172052482,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,358,Y,6/29/17 20:30,2017,6,Thursday,20,Part One,GENEVA AVE,42.2991807,-71.06429139,"(42.29918070, -71.06429139)"
I172052230,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,417,Y,6/29/17 1:38,2017,6,Thursday,1,Part One,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I172051926,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,400,Y,6/28/17 9:57,2017,6,Wednesday,9,Part One,ASHMONT ST,42.28519774,-71.0677511,"(42.28519774, -71.06775110)"
I172051926,3125,Warrant Arrests,WARRANT ARREST,C11,400,Y,6/28/17 9:57,2017,6,Wednesday,9,Part Three,ASHMONT ST,42.28519774,-71.0677511,"(42.28519774, -71.06775110)"
I172051446,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,468,Y,6/26/17 19:27,2017,6,Monday,19,Part One,BLUE HILL AVE,42.27783207,-71.09355491,"(42.27783207, -71.09355491)"
I172051446,3125,Warrant Arrests,WARRANT ARREST,B3,468,Y,6/26/17 19:27,2017,6,Monday,19,Part Three,BLUE HILL AVE,42.27783207,-71.09355491,"(42.27783207, -71.09355491)"
I172051378,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,351,Y,6/26/17 16:14,2017,6,Monday,16,Part One,LINCOLN ST,42.29979065,-71.05954439,"(42.29979065, -71.05954439)"
I172050866,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,6/25/17 0:10,2017,6,Sunday,0,Part One,BRAGDON ST,42.31854554,-71.098663,"(42.31854554, -71.09866300)"
I172050864,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,6/25/17 0:11,2017,6,Sunday,0,Part One,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I172050746,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,326,Y,6/24/17 16:29,2017,6,Saturday,16,Part One,FERNBORO ST,42.31186553,-71.07668603,"(42.31186553, -71.07668603)"
I172050746,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,B2,326,Y,6/24/17 16:29,2017,6,Saturday,16,Part Two,FERNBORO ST,42.31186553,-71.07668603,"(42.31186553, -71.07668603)"
I172049184,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,328,Y,6/19/17 20:30,2017,6,Monday,20,Part One,INTERVALE ST,42.31017838,-71.07651047,"(42.31017838, -71.07651047)"
I172048679,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,352,Y,6/18/17 3:02,2017,6,Sunday,3,Part One,ARCADIA ST,42.30183841,-71.06127819,"(42.30183841, -71.06127819)"
I172048352,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,395,Y,6/16/17 22:33,2017,6,Friday,22,Part One,VAN WINKLE ST,42.28250165,-71.0636383,"(42.28250165, -71.06363830)"
I172047604,301,Robbery,ROBBERY - STREET,E13,912,Y,6/14/17 18:11,2017,6,Wednesday,18,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I172047249,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,421,Y,6/13/17 18:59,2017,6,Tuesday,18,Part One,DELHI ST,42.27607035,-71.0896364,"(42.27607035, -71.08963640)"
I172047249,123,Manslaughter,MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE,B3,421,Y,6/13/17 18:59,2017,6,Tuesday,18,Other,DELHI ST,42.27607035,-71.0896364,"(42.27607035, -71.08963640)"
I172047249,3125,Warrant Arrests,WARRANT ARREST,B3,421,Y,6/13/17 18:59,2017,6,Tuesday,18,Part Three,DELHI ST,42.27607035,-71.0896364,"(42.27607035, -71.08963640)"
I172047249,1402,Vandalism,VANDALISM,B3,421,Y,6/13/17 18:59,2017,6,Tuesday,18,Part Two,DELHI ST,42.27607035,-71.0896364,"(42.27607035, -71.08963640)"
I172046900,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,428,Y,6/12/17 20:44,2017,6,Monday,20,Part One,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I172046848,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,6/12/17 17:44,2017,6,Monday,17,Part One,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
I172046423,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,335,Y,6/11/17 12:48,2017,6,Sunday,12,Part One,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)"
I172046001,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,327,Y,6/10/17 1:02,2017,6,Saturday,1,Part One,HARTFORD ST,42.31801549,-71.07391773,"(42.31801549, -71.07391773)"
I172045999,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,911,Y,6/10/17 0:00,2017,6,Saturday,0,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I172045865,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,465,Y,6/9/17 15:32,2017,6,Friday,15,Part One,BAIRD ST,42.28574986,-71.09215334,"(42.28574986, -71.09215334)"
I172045865,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,465,Y,6/9/17 15:32,2017,6,Friday,15,Part Two,BAIRD ST,42.28574986,-71.09215334,"(42.28574986, -71.09215334)"
I172045865,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,465,Y,6/9/17 15:32,2017,6,Friday,15,Part Three,BAIRD ST,42.28574986,-71.09215334,"(42.28574986, -71.09215334)"
I172045372,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,312,Y,6/8/17 1:42,2017,6,Thursday,1,Part One,HOLWORTHY ST,42.31632131,-71.0892305,"(42.31632131, -71.08923050)"
I172045363,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,6/7/17 22:28,2017,6,Wednesday,22,Part One,GLENDALE ST,42.31326923,-71.06585779,"(42.31326923, -71.06585779)"
I172045333,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,291,Y,6/7/17 22:07,2017,6,Wednesday,22,Part One,CEDAR ST,42.32696928,-71.09329249,"(42.32696928, -71.09329249)"
I172045333,3125,Warrant Arrests,WARRANT ARREST,B2,291,Y,6/7/17 22:07,2017,6,Wednesday,22,Part Three,CEDAR ST,42.32696928,-71.09329249,"(42.32696928, -71.09329249)"
I172045331,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,273,Y,6/7/17 21:56,2017,6,Wednesday,21,Part One,SHAWMUT AVE,42.33602271,-71.0799671,"(42.33602271, -71.07996710)"
I172044102,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,469,Y,6/3/17 18:38,2017,6,Saturday,18,Part One,FOTTLER RD,42.27763124,-71.09671825,"(42.27763124, -71.09671825)"
I172044102,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,469,Y,6/3/17 18:38,2017,6,Saturday,18,Part Two,FOTTLER RD,42.27763124,-71.09671825,"(42.27763124, -71.09671825)"
I172044027,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,454,Y,6/3/17 14:24,2017,6,Saturday,14,Part One,RIPLEY RD,42.29926303,-71.07626513,"(42.29926303, -71.07626513)"
I172044027,1874,Drug Violation,DRUGS - OTHER,B3,454,Y,6/3/17 14:24,2017,6,Saturday,14,Part Two,RIPLEY RD,42.29926303,-71.07626513,"(42.29926303, -71.07626513)"
I172043809,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,945,Y,6/2/17 17:58,2017,6,Friday,17,Part One,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
I172043809,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,945,Y,6/2/17 17:58,2017,6,Friday,17,Part Two,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
I172043809,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,945,Y,6/2/17 17:58,2017,6,Friday,17,Part Two,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
I172041830,3125,Warrant Arrests,WARRANT ARREST,A1,124,Y,5/27/17 2:36,2017,5,Saturday,2,Part Three,HUDSON ST,42.34976402,-71.06045076,"(42.34976402, -71.06045076)"
I172041830,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",A1,124,Y,5/27/17 2:36,2017,5,Saturday,2,Part One,HUDSON ST,42.34976402,-71.06045076,"(42.34976402, -71.06045076)"
I172041785,3125,Warrant Arrests,WARRANT ARREST,B3,434,Y,5/26/17 22:05,2017,5,Friday,22,Part Three,STANTON ST,42.28411373,-71.07938717,"(42.28411373, -71.07938717)"
I172041785,301,Robbery,ROBBERY - STREET,B3,434,Y,5/26/17 22:05,2017,5,Friday,22,Part One,STANTON ST,42.28411373,-71.07938717,"(42.28411373, -71.07938717)"
I172041368,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,347,Y,5/25/17 15:02,2017,5,Thursday,15,Part Three,ADAMS ST,42.30569111,-71.06164783,"(42.30569111, -71.06164783)"
I172040839,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,281,Y,5/23/17 22:52,2017,5,Tuesday,22,Part One,MOUNT PLEASANT TER,42.32667212,-71.07977739,"(42.32667212, -71.07977739)"
I172040229,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,279,Y,5/21/17 22:09,2017,5,Sunday,22,Part One,DEARBORN ST,42.32893451,-71.0791325,"(42.32893451, -71.07913250)"
I172040210,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,357,Y,5/21/17 20:55,2017,5,Sunday,20,Part One,GENEVA AVE,42.30080999,-71.06705066,"(42.30080999, -71.06705066)"
I172039930,3114,Investigate Property,INVESTIGATE PROPERTY,B3,418,Y,5/20/17 20:16,2017,5,Saturday,20,Part Three,FULLER ST,42.28009279,-71.0800541,"(42.28009279, -71.08005410)"
I172039930,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,418,Y,5/20/17 20:16,2017,5,Saturday,20,Part One,FULLER ST,42.28009279,-71.0800541,"(42.28009279, -71.08005410)"
I172039041,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,257,Y,5/18/17 1:48,2017,5,Thursday,1,Part One,CUSHING AVE,42.31475867,-71.0646089,"(42.31475867, -71.06460890)"
I172037777,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,462,Y,5/13/17 22:57,2017,5,Saturday,22,Part One,NOTTINGHAM ST,42.30116811,-71.07347571,"(42.30116811, -71.07347571)"
I172037641,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,257,Y,5/13/17 13:40,2017,5,Saturday,13,Part One,SCHROEDER PLZ,42.33367922,-71.09187755,"(42.33367922, -71.09187755)"
I172037641,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,257,Y,5/13/17 13:40,2017,5,Saturday,13,Part Two,SCHROEDER PLZ,42.33367922,-71.09187755,"(42.33367922, -71.09187755)"
I172037641,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,257,Y,5/13/17 13:40,2017,5,Saturday,13,Part Two,SCHROEDER PLZ,42.33367922,-71.09187755,"(42.33367922, -71.09187755)"
I172037641,3130,Search Warrants,SEARCH WARRANT,C11,257,Y,5/13/17 13:40,2017,5,Saturday,13,Part Three,SCHROEDER PLZ,42.33367922,-71.09187755,"(42.33367922, -71.09187755)"
I172036626,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,936,Y,5/9/17 23:33,2017,5,Tuesday,23,Part One,FLAHERTY WAY,42.3386127,-71.05413593,"(42.33861270, -71.05413593)"
I172036620,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,482,Y,5/9/17 22:36,2017,5,Tuesday,22,Part One,TESLA ST,42.2661068,-71.09656048,"(42.26610680, -71.09656048)"
I172035784,2010,HOME INVASION,HOME INVASION,C11,334,Y,5/7/17 2:04,2017,5,Sunday,2,,RONAN ST,42.31106545,-71.06693233,"(42.31106545, -71.06693233)"
I172035784,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,334,Y,5/7/17 2:04,2017,5,Sunday,2,Part One,RONAN ST,42.31106545,-71.06693233,"(42.31106545, -71.06693233)"
I172035478,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,476,Y,5/5/17 21:35,2017,5,Friday,21,Part One,REXFORD ST,42.26984836,-71.09532394,"(42.26984836, -71.09532394)"
I172034834,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,298,Y,5/3/17 21:54,2017,5,Wednesday,21,Part One,DALE ST,42.32272473,-71.08877863,"(42.32272473, -71.08877863)"
I172033610,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,Y,4/30/17 0:05,2017,4,Sunday,0,Part One,WASHINGTON ST,42.31485546,-71.0992241,"(42.31485546, -71.09922410)"
I172033289,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,4/28/17 22:28,2017,4,Friday,22,Part One,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I172033288,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,4/28/17 22:28,2017,4,Friday,22,Part One,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I172033274,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,4/28/17 22:27,2017,4,Friday,22,Part One,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I172033274,1402,Vandalism,VANDALISM,C11,332,Y,4/28/17 22:27,2017,4,Friday,22,Part Two,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
